state,state_abbr,school,city,county_name,founding_year_used,roots_year,continuity_status,lineage_note,school_type,elite_signal,confidence,admission_model_current_prelim,access_model_current_prelim,access_model_historical_prelim,admissions_access_coding_status
New Mexico,NM,New Mexico Military Institute,Roswell,Chaves County,1891,1891,continuous,Continuous school from 1891,Public military high school and junior college,Historically prominent college-prep military school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
New York,NY,Stuyvesant High School,New York,New York County,1904,1904,continuous,Continuous school from 1904,Public specialized exam school,Canonical elite public exam school,high,exam_based,public_free_selective,public_free_selective,pending_second_pass
New York,NY,Horace Mann School,Bronx,Bronx County,1887,1887,continuous,Continuous school from 1887,Private day school,Canonical elite NYC independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New York,NY,Regis High School,New York,New York County,1914,1914,continuous,Continuous school from 1914,Private Jesuit tuition-free school,Tuition-free merit-based elite school,high,exam_based,free_merit,free_merit,pending_second_pass
New York,NY,Brooklyn Technical High School,Brooklyn,Kings County,1922,1922,continuous,Continuous school from 1922,Public specialized exam school,Canonical elite public STEM exam school,high,exam_based,public_free_selective,public_free_selective,pending_second_pass
New York,NY,Riverdale Country School,Bronx,Bronx County,1907,1907,continuous,Continuous school from 1907,Private school,Elite NYC independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New York,NY,The Dalton School,New York,New York County,1919,1919,continuous,Continuous school from 1919,Private day school,Elite NYC independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
New York,NY,The Brearley School,New York,New York County,1884,1884,continuous,Continuous school from 1884,Private day school,Elite NYC girls' school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
North Carolina,NC,Asheville School,Asheville,Buncombe County,1900,1900,continuous,Continuous school from 1900,Private boarding and day school,Historic elite North Carolina boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Ohio,OH,Western Reserve Academy,Hudson,Summit County,1826,1826,reorganized_continuity,Preparatory lineage remains continuous despite later college separation,Private boarding and day school,Historic elite Ohio prep school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Ohio,OH,University School,Cleveland,Cuyahoga County,1890,1890,continuous,Continuous school from 1890,Private day school,Elite Northeast Ohio boys' school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Ohio,OH,Hawken School,Cleveland,Cuyahoga County,1915,1915,continuous,Continuous school from 1915,Private day school,Elite Northeast Ohio independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Ohio,OH,Columbus Academy,Gahanna,Franklin County,1911,1911,continuous,Continuous school from 1911,Private day school,Elite Central Ohio independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Oklahoma,OK,Holland Hall,Tulsa,Tulsa County,1922,1922,continuous,Continuous school from 1922,Private school,Longstanding elite Tulsa independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Oregon,OR,Oregon Episcopal School,Portland,Multnomah County,1869,1869,continuous,Continuous school from 1869,Private day and boarding school,Historic elite Oregon independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Oregon,OR,Catlin Gabel School,Portland,Multnomah County,1884,1884,later_merger_use_roots,Use Catlin and Gabel predecessor roots; current institution is a later merger,Private school,Merged lineage of elite Portland prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Pennsylvania,PA,Central High School,Philadelphia,Philadelphia County,1836,1836,continuous,Continuous school from 1836,Public magnet high school,Historic elite public city high school,high,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Pennsylvania,PA,The Haverford School,Haverford,Delaware County,1884,1884,continuous,Continuous school from 1884,Private day school,Historic elite Main Line school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Pennsylvania,PA,Mercersburg Academy,Mercersburg,Franklin County,1893,1836,reorganized_continuity,Use 1893 academy date while preserving 1836 institutional roots,Private boarding and day school,Historic elite boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Pennsylvania,PA,The Hill School,Pottstown,Montgomery County,1851,1851,continuous,Continuous school from 1851,Private boarding and day school,Canonical elite boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Pennsylvania,PA,Shady Side Academy,Pittsburgh,Allegheny County,1883,1883,continuous,Continuous school from 1883,Private school,Historic elite Pittsburgh independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Rhode Island,RI,St. George's School,Middletown,Newport County,1896,1896,continuous,Continuous school from 1896,Private boarding and day school,Historic elite Rhode Island boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Rhode Island,RI,Wheeler School,Providence,Providence County,1889,1889,continuous,Continuous school from 1889,Private day school,Historic elite Providence independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
South Carolina,SC,Porter-Gaud School,Charleston,Charleston County,1867,1867,later_merger_use_roots,Use Porter Military Academy and related predecessor roots; current institution is a later merger,Private school,Merged lineage of Charleston elite prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Tennessee,TN,Baylor School,Chattanooga,Hamilton County,1893,1893,continuous,Continuous school from 1893,Private boarding and day school,Historic elite Tennessee boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Tennessee,TN,Montgomery Bell Academy,Nashville,Davidson County,1867,1867,continuous,Continuous school from 1867,Private day school,Historic elite Nashville boys' school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Tennessee,TN,The Webb School,Bell Buckle,Bedford County,1870,1870,continuous,Continuous school from 1870,Private boarding school,Historic elite Tennessee boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Texas,TX,The Kinkaid School,Houston,Harris County,1906,1906,continuous,Continuous school from 1906,Private day school,Elite Houston independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Texas,TX,The Hockaday School,Dallas,Dallas County,1913,1913,continuous,Continuous school from 1913,Private day school,Elite Dallas girls' school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Texas,TX,TMI Episcopal,San Antonio,Bexar County,1893,1893,continuous_renamed,Founded as West Texas Military Academy; later TMI Episcopal,Private college-prep school,Longstanding elite San Antonio prep school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Utah,UT,Rowland Hall,Salt Lake City,Salt Lake County,1867,1867,continuous,Continuous school from 1867,Private college-prep school,Historic elite Utah independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Vermont,VT,St. Johnsbury Academy,St. Johnsbury,Caledonia County,1842,1842,continuous,Continuous school from 1842,Independent school,Historically prominent Vermont academy,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Vermont,VT,Burr and Burton Academy,Manchester,Bennington County,1829,1829,continuous,Continuous school from 1829,Independent academy,Historically prominent Vermont academy,medium,merit_selective_nonexam,public_free_selective,public_free_selective,pending_second_pass
Virginia,VA,Episcopal High School,Alexandria,Alexandria city,1839,1839,continuous,Continuous school from 1839 despite Civil War closure,Private boarding school,Canonical elite Southern boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Virginia,VA,Woodberry Forest School,Woodberry Forest,Madison County,1889,1889,continuous,Continuous school from 1889,Private boarding school,Canonical elite Southern boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Virginia,VA,St. Christopher's School,Richmond,Richmond city,1911,1911,continuous,Continuous school from 1911,Private day school,Elite Richmond boys' school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Virginia,VA,The Madeira School,McLean,Fairfax County,1906,1906,continuous,Continuous school from 1906,Private girls' boarding and day school,Elite Washington-area girls' school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Washington,WA,Lakeside School,Seattle,King County,1919,1919,continuous,Continuous school from 1919,Private school,Elite Seattle independent school,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Washington,WA,Annie Wright Schools,Tacoma,Pierce County,1884,1884,continuous,Continuous school from 1884,Private school,Historic elite Tacoma independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
West Virginia,WV,Linsly School,Wheeling,Ohio County,1814,1814,continuous,Continuous school from 1814,Private boarding and day school,Historic elite prep school in West Virginia,high,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Wisconsin,WI,University School of Milwaukee,Milwaukee,Milwaukee County,1851,1851,later_merger_use_roots,Use Milwaukee Academy and related predecessor roots; current institution is a later merger,Private school,Merged lineage of elite Milwaukee prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Wisconsin,WI,Milwaukee Country Day School,Milwaukee,Milwaukee County,1926,1926,continuous,Continuous school from 1926,Private day school,Elite Milwaukee independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
Wisconsin,WI,Wayland Academy,Beaver Dam,Dodge County,1855,1855,continuous,Continuous school from 1855,Private boarding and day school,Historic prep school in Wisconsin,medium,holistic_private,private_need_aid,private_tuition_dominant,pending_second_pass
