school,state_abbr,founding_year,year10_point,year10_low,year10_high,year10_year,year10_source_url,year10_evidence_level,circa1900_point,circa1900_source_url,circa1900_evidence_level,note,poor_access_historical,school_type,access
Baltimore Polytechnic Institute,MD,1883,150,100,250,1893,https://en.wikipedia.org/wiki/Baltimore_Polytechnic_Institute,inferred,NA,NA,unknown,Opened 60 students 1883; steady growth under King 1890-1921,high,Public selective STEM high school,High access
Gilman School,MD,1897,60,40,100,1907,https://en.wikipedia.org/wiki/Gilman_School,inferred,32,https://www.gilman.edu/about/history,source_checked,32 boys at 1897 founding,low,Private day school,Low access
Noble and Greenough School,MA,1866,40,20,80,1876,https://en.wikipedia.org/wiki/Noble_and_Greenough_School,inferred,NA,NA,unknown,10 boys at 1866 founding,low,Private day and boarding school,Low access
Dana Hall School,MA,1881,40,25,75,1891,https://en.wikipedia.org/wiki/Dana_Hall_School,inferred,100,https://en.wikipedia.org/wiki/Dana_Hall_School,inferred,18 students 1881; expansion 1899-1902,low,Private girls' boarding and day school,Low access
Groton School,MA,1884,60,40,90,1894,https://www.groton.org/about/history,inferred,110,https://www.americanheritage.com/old-peabo-and-school,source_checked,24 boys 1884; 110 by 1896,low,Private boarding school,Low access
Middlesex School,MA,1901,50,25,100,1911,https://en.wikipedia.org/wiki/Middlesex_School,inferred,NA,NA,NA,Founded 1901,low,Private boarding school,Low access
Belmont Hill School,MA,1923,150,120,200,1933,https://centennial.belmonthill.org/fidelitas/history,inferred,NA,NA,NA,45 boys opened 1923; 123 by 1926,low,Private boys' day school,Low access
University of Detroit Jesuit High School and Academy,MI,1877,250,200,300,1887,https://udmercy.libguides.com/c.php?g=751277&p=5381260,inferred,233,https://udmercy.libguides.com/c.php?g=751277&p=5381261,source_checked,228-278 students 1881-82; 233 in 1898 (combined HS+college),low,Private Jesuit school,Low access
Detroit Country Day School,MI,1914,30,15,60,1924,https://en.wikipedia.org/wiki/Detroit_Country_Day_School,inferred,NA,NA,NA,4 boys 1914,low,Private day school,Low access
Cranbrook Schools,MI,1922,50,25,100,1932,https://en.wikipedia.org/wiki/Cranbrook_Schools,inferred,NA,NA,NA,Bloomfield Hills School began grades 1-12 by 1922,low,Private school,Low access
Breck School,MN,1886,100,50,300,1896,https://www.breckschool.org/about-breck/history,inferred,300,https://www.breckschool.org/about-breck/history,inferred,19 students 1888; peak ~500 in 1890s; closed 1906,low,Private school,Low access
Sumner High School,MO,1875,300,200,450,1885,https://en.wikipedia.org/wiki/Sumner_High_School_(St._Louis),inferred,500,https://en.wikipedia.org/wiki/Sumner_High_School_(St._Louis),inferred,411 original students 1875 (combined elem+HS); first west of Mississippi for Black students,high,Public high school,High access
John Burroughs School,MO,1923,200,150,300,1933,https://en.wikipedia.org/wiki/John_Burroughs_School,inferred,NA,NA,NA,Founded 1923,low,Private day school,Low access
Omaha Central High School,NE,1859,200,100,400,1869,https://www.ops.org/domain/479,inferred,600,https://en.wikipedia.org/wiki/Omaha_Central_High_School,inferred,450 in district at 1859; new building 1900 due to overcrowding,high,Public high school,High access
Brownell Talbot College Preparatory School,NE,1863,60,30,100,1873,https://usgennet.org/usa/ne/topic/resources/OLLibrary/Brownell_Hall/pages/bh011.htm,inferred,100,https://en.wikipedia.org/wiki/Brownell-Talbot_School,inferred,40 pupils at 1863 founding,low,Private college-prep school,Low access
St. Paul's School,NH,1856,60,40,100,1866,https://en.wikipedia.org/wiki/St._Paul's_School_(New_Hampshire),inferred,345,https://en.wikipedia.org/wiki/St._Paul's_School_(New_Hampshire),source_checked,"204 in 1878, 345 in 1895",low,Private boarding school,Low access
Holderness School,NH,1879,30,20,50,1889,https://en.wikipedia.org/wiki/Holderness_School,inferred,40,https://en.wikipedia.org/wiki/Holderness_School,inferred,First 75 yrs enrollment 30-80; opened with 15 boys,low,Private boarding and day school,Low access
The Lawrenceville School,NJ,1810,100,60,150,1836,https://kids.kiddle.co/Lawrenceville_School,inferred,362,https://en.wikipedia.org/wiki/Lawrenceville_School,source_checked,116 students in 1836 catalogue; 362 by 1898,low,Private boarding and day school,Low access
Blair Academy,NJ,1848,NA,NA,NA,NA,NA,unknown,NA,NA,unknown,No enrollment figures found for early years or c.1900,low,Private boarding and day school,Low access
The Pingry School,NJ,1861,50,25,100,1871,https://en.wikipedia.org/wiki/Pingry_School,inferred,NA,NA,unknown,Civil War depressed early enrollment,low,Private day school,Low access
Peddie School,NJ,1864,NA,NA,NA,NA,NA,unknown,129,https://www.peddie.org/about/mission-and-values/our-history/,source_checked,129 students in 1898; no early-year figures found,low,Private boarding and day school,Low access
Emma Willard School,NY,1814,100,60,150,1822,https://en.wikipedia.org/wiki/Emma_Willard_School,inferred,NA,NA,unknown,First Troy class 1821 had 90 girls; 300+ by 1831,low,Private girls' boarding and day school,Low access
The Brearley School,NY,1884,120,100,150,1886,https://www.brearley.org/mission/our-history/,source_checked,NA,NA,unknown,120 students by 1886,low,Private day school,Low access
Horace Mann School,NY,1887,NA,NA,NA,NA,NA,unknown,NA,NA,unknown,No early enrollment figures located,low,Private day school,Low access
Stuyvesant High School,NY,1904,155,NA,NA,1904,https://en.wikipedia.org/wiki/Stuyvesant_High_School,source_checked,NA,NA,NA,155 students at 1904 opening,high,Public specialized exam school,High access
Riverdale Country School,NY,1907,12,10,30,1907,https://en.wikipedia.org/wiki/Riverdale_Country_School,source_checked,NA,NA,NA,Opened 1907 with 12 students,low,Private school,Low access
Regis High School,NY,1914,150,100,250,1914,https://en.wikipedia.org/wiki/Regis_High_School_(New_York_City),inferred,NA,NA,NA,Tuition-free Jesuit school opened Sept 1914,high,Private Jesuit tuition-free school,High access
The Dalton School,NY,1919,100,50,200,1929,https://en.wikipedia.org/wiki/Dalton_School,inferred,NA,NA,NA,383 students by early 1930s,low,Private day school,Low access
Brooklyn Technical High School,NY,1922,2400,NA,NA,1922,https://en.wikipedia.org/wiki/Brooklyn_Technical_High_School,source_checked,NA,NA,NA,Opened 1922 with 2400 students,high,Public specialized exam school,High access
Asheville School,NC,1900,53,NA,NA,1900,https://en.wikipedia.org/wiki/Asheville_School,source_checked,53,https://en.wikipedia.org/wiki/Asheville_School,source_checked,53 boarders in first year (1900),low,Private boarding and day school,Low access
Western Reserve Academy,OH,1826,30,20,60,1836,https://en.wikipedia.org/wiki/Western_Reserve_Academy,inferred,NA,NA,unknown,8 prep students in 1827,low,Private boarding and day school,Low access
University School,OH,1890,100,60,150,1890,https://case.edu/ech/articles/u/university-school,inferred,NA,NA,unknown,100 applications before building erected; specific 1900 figure not found,low,Private day school,Low access
Columbus Academy,OH,1911,60,30,120,1921,https://en.wikipedia.org/wiki/Columbus_Academy,inferred,NA,NA,NA,Founded 1911 with 18 students,low,Private day school,Low access
Hawken School,OH,1915,50,30,100,1925,https://case.edu/ech/articles/h/hawken-school,inferred,NA,NA,NA,Founded 1915 with 19 boys; moved to Lyndhurst 1922,low,Private day school,Low access
Holland Hall,OK,1922,60,60,60,1922,https://www.hollandhall.org/about/history,source_checked,NA,NA,NA,Founded 1922 with 60 students,low,Private school,Low access
Oregon Episcopal School,OR,1869,50,20,100,1879,https://www.oes.edu/aboutoes/history,inferred,NA,NA,unknown,St. Helen's Hall girls' boarding/day school,low,Private day and boarding school,Low access
Central High School,PA,1836,200,100,400,1846,https://en.wikipedia.org/wiki/Central_High_School_(Philadelphia),inferred,1500,https://hsp.org/blogs/archival-adventures-in-small-repositories/central-high-school-rich-in-history-and-notable-alumni,inferred,Opened 1838 with 63 students; new larger building 1900 due to growth,high,Public magnet high school,High access
The Hill School,PA,1851,40,25,75,1861,https://en.wikipedia.org/wiki/The_Hill_School,inferred,250,https://www.thehill.org/about-us/hill-traditions/archives,inferred,Opened with 25 boys in 1851,low,Private boarding and day school,Low access
Shady Side Academy,PA,1883,60,30,120,1893,https://www.shadysideacademy.org/about/history,inferred,100,https://en.wikipedia.org/wiki/Shady_Side_Academy,inferred,One-room schoolhouse founding,low,Private school,Low access
The Haverford School,PA,1884,50,30,90,1894,https://collections.lowermerionhistory.org/home/full-text/contents/haverford-school/,inferred,100,https://en.wikipedia.org/wiki/Haverford_School,inferred,Opened 1884 with 25 boys,low,Private day school,Low access
Mercersburg Academy,PA,1893,100,60,200,1903,https://www.mercersburg.edu/about/school-history,inferred,150,https://en.wikipedia.org/wiki/Mercersburg_Academy,inferred,Opened 1893 with 40 boys,low,Private boarding and day school,Low access
Wheeler School,RI,1889,30,15,60,1899,https://www.wheelerschool.org/about-wheeler/history/,inferred,40,https://en.wikipedia.org/wiki/Wheeler_School,inferred,Opened 1889 with 10 girl boarders,low,Private day school,Low access
St. George's School,RI,1896,40,20,80,1906,https://en.wikipedia.org/wiki/St._George's_School_(Rhode_Island),inferred,40,https://www.stgeorges.edu/about/ataglance,inferred,Started 1896 as Diman's School for Small Boys,low,Private boarding and day school,Low access
Montgomery Bell Academy,TN,1867,50,25,100,1877,https://www.montgomerybell.edu/about-mba/our-mission--history,inferred,100,https://tennesseeencyclopedia.net/entries/montgomery-bell-academy/,inferred,Opened Sept 1867 with 26 scholars,low,Private day school,Low access
The Webb School,TN,1870,60,30,120,1880,"https://en.wikipedia.org/wiki/The_Webb_School_(Bell_Buckle,_Tennessee)",inferred,150,https://tennesseeencyclopedia.net/entries/webb-school/,inferred,Founded Culleoka 1870; moved Bell Buckle 1886,low,Private boarding school,Low access
Baylor School,TN,1893,60,40,120,1903,https://www.baylorschool.org/about-baylor/history,inferred,75,https://en.wikipedia.org/wiki/Baylor_School,inferred,Opened 1893 with 31 boys,low,Private boarding and day school,Low access
TMI Episcopal,TX,1893,80,40,150,1903,https://en.wikipedia.org/wiki/TMI_Episcopal,inferred,80,https://www.tshaonline.org/handbook/entries/west-texas-military-academy,inferred,Opened 1893 with 12 students,low,Private college-prep school,Low access
The Kinkaid School,TX,1906,20,10,40,1910,https://www.kinkaid.org/who-we-are/campus-history,inferred,NA,NA,NA,Started w/7 pupils in Kinkaid home 1904,low,Private day school,Low access
The Hockaday School,TX,1913,60,30,100,1919,https://www.hockaday.org/about/history,inferred,NA,NA,NA,Opened 1913 with 10 pupils,low,Private day school,Low access
Rowland Hall,UT,1867,16,16,16,1867,https://en.wikipedia.org/wiki/Rowland_Hall,source_checked,40,https://issuu.com/utah10/docs/uhq_volume48_1980_number3/s/131211,inferred,St. Mark's opened 1867 with 16 boys,low,Private college-prep school,Low access
Burr and Burton Academy,VT,1829,75,40,150,1840,https://en.wikipedia.org/wiki/Burr_and_Burton_Academy,inferred,100,NA,inferred,No specific early figures found; coed seminary by 1853,high,Independent academy,High access
St. Johnsbury Academy,VT,1842,50,30,80,1852,https://stjacademy.org/the-sja-experience/history/,inferred,200,http://www.nekg-vt.com/schools/school_st-johnsbury-academy-1900.php,inferred,23 students opening day 1842,high,Independent school,High access
Episcopal High School,VA,1839,60,35,100,1849,https://www.episcopalhighschool.org/about-us/since-1839-a-brief-history-of-ehs,inferred,100,https://www.episcopalhighschool.org/about-us/since-1839-a-brief-history-of-ehs,inferred,Opened 1839 with 35 boys,low,Private boarding school,Low access
Woodberry Forest School,VA,1889,40,20,80,1899,https://www.woodberry.org/about/history-and-mission,inferred,50,NA,inferred,Started as tutor for 6 sons + neighbors 1889,low,Private boarding school,Low access
The Madeira School,VA,1906,30,15,60,1916,https://www.madeira.org/about-madeira/mission-vision-history,inferred,NA,NA,NA,Founded 1906 in DC for college prep,low,Private girls' boarding and day school,Low access
St. Christopher's School,VA,1911,74,74,74,1915,"https://en.wikipedia.org/wiki/St._Christopher's_School_(Richmond,_Virginia)",source_checked,NA,NA,NA,Opened 1911 with 16 boys; 74 students by 1915,low,Private day school,Low access
Foxcroft School,VA,1914,50,30,80,1924,https://www.foxcroft.org/about/history,inferred,NA,NA,NA,Opened Oct 1914 with 24 students,low,Private girls' boarding and day school,Low access
Annie Wright Schools,WA,1884,75,50,120,1894,https://www.aw.org/about-us/history-of-annie-wright-schools,inferred,100,NA,inferred,Opened 1884 with 46 students,low,Private school,Low access
Lakeside School,WA,1919,50,30,80,1929,https://www.historylink.org/file/10621,inferred,NA,NA,NA,Founded 1919 as Moran-Lakeside; 100 boys 1930,low,Private school,Low access
Linsly School,WV,1814,60,30,100,1824,https://www.linsly.org/about/our-history,inferred,150,NA,inferred,Lancastrian Academy 1814,low,Private boarding and day school,Low access
Wayland Academy,WI,1855,150,100,200,1864,https://en.wikipedia.org/wiki/Wayland_Academy_(Wisconsin),source_checked,150,NA,inferred,1 student 1855; 191 by 1864,low,Private boarding and day school,Low access
Milwaukee Country Day School,WI,1926,75,50,120,1936,https://en.wikipedia.org/wiki/Milwaukee_Country_Day_School,inferred,NA,NA,NA,MCDS opened 1917 with 55 students,low,Private day school,Low access
