outcome,g,decade,cohort_mean,n_obs,cohort_label
"STEM births per 1,000 population",0,1980,2.7114482378522956e-4,58,Control (g = 0)
"STEM births per 1,000 population",0,1990,8.758775103870834e-5,58,Control (g = 0)
"STEM births per 1,000 population",0,2000,0,58,Control (g = 0)
"STEM births per 1,000 population",1850,1800,0,4,Cohort 1850
"STEM births per 1,000 population",1850,1810,0,4,Cohort 1850
"STEM births per 1,000 population",1850,1820,0,4,Cohort 1850
"STEM births per 1,000 population",1850,1830,0,4,Cohort 1850
"STEM births per 1,000 population",1850,1840,0.0072891029050491845,4,Cohort 1850
"STEM births per 1,000 population",1850,1850,0.028755463538072235,4,Cohort 1850
"STEM births per 1,000 population",1850,1860,0.016442735667790438,4,Cohort 1850
"STEM births per 1,000 population",1850,1870,0.06221031242181941,4,Cohort 1850
"STEM births per 1,000 population",1850,1880,0.017137528462038924,4,Cohort 1850
"STEM births per 1,000 population",1850,1890,0.008453621026913887,4,Cohort 1850
"STEM births per 1,000 population",1850,1900,0.014138570142244174,4,Cohort 1850
"STEM births per 1,000 population",1850,1910,0.012228372966679876,4,Cohort 1850
"STEM births per 1,000 population",1850,1920,0.020170119154695146,4,Cohort 1850
"STEM births per 1,000 population",1850,1930,0.016485985804286393,4,Cohort 1850
"STEM births per 1,000 population",1850,1940,0.017548093966084383,4,Cohort 1850
"STEM births per 1,000 population",1850,1950,0.00790785932545248,4,Cohort 1850
"STEM births per 1,000 population",1850,1960,0.002561862468033639,4,Cohort 1850
"STEM births per 1,000 population",1850,1970,0.0018047758078631258,4,Cohort 1850
"STEM births per 1,000 population",1850,1980,7.342065549139689e-4,4,Cohort 1850
"STEM births per 1,000 population",1850,1990,3.4405222299882456e-4,4,Cohort 1850
"STEM births per 1,000 population",1850,2000,0,4,Cohort 1850
"STEM births per 1,000 population",1860,1800,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1810,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1820,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1830,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1840,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1850,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1860,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1870,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1880,0.009053392168122624,1,Cohort 1860
"STEM births per 1,000 population",1860,1890,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1900,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1910,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1920,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1930,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1940,0.0040381445659540376,1,Cohort 1860
"STEM births per 1,000 population",1860,1950,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1960,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1970,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1980,0,1,Cohort 1860
"STEM births per 1,000 population",1860,1990,0,1,Cohort 1860
"STEM births per 1,000 population",1860,2000,0,1,Cohort 1860
"STEM births per 1,000 population",1870,1800,0,1,Cohort 1870
"STEM births per 1,000 population",1870,1810,0,1,Cohort 1870
"STEM births per 1,000 population",1870,1820,0,1,Cohort 1870
"STEM births per 1,000 population",1870,1830,0,1,Cohort 1870
"STEM births per 1,000 population",1870,1840,0.25590286886733554,1,Cohort 1870
"STEM births per 1,000 population",1870,1850,0.1283172403172017,1,Cohort 1870
"STEM births per 1,000 population",1870,1860,0.065951844848285,1,Cohort 1870
"STEM births per 1,000 population",1870,1870,0.040598472228741946,1,Cohort 1870
"STEM births per 1,000 population",1870,1880,0.08703830739504886,1,Cohort 1870
"STEM births per 1,000 population",1870,1890,0.0635561661066883,1,Cohort 1870
"STEM births per 1,000 population",1870,1900,0.2311924699890048,1,Cohort 1870
"STEM births per 1,000 population",1870,1910,0.19778832477151972,1,Cohort 1870
"STEM births per 1,000 population",1870,1920,0.16159514608579945,1,Cohort 1870
"STEM births per 1,000 population",1870,1930,0.14896026235626209,1,Cohort 1870
"STEM births per 1,000 population",1870,1940,0.2245765722772503,1,Cohort 1870
"STEM births per 1,000 population",1870,1950,0.09704746973363629,1,Cohort 1870
"STEM births per 1,000 population",1870,1960,0.03472207151878681,1,Cohort 1870
"STEM births per 1,000 population",1870,1970,0.011866655504593832,1,Cohort 1870
"STEM births per 1,000 population",1870,1980,0,1,Cohort 1870
"STEM births per 1,000 population",1870,1990,0,1,Cohort 1870
"STEM births per 1,000 population",1870,2000,0,1,Cohort 1870
"STEM births per 1,000 population",1900,1800,0,2,Cohort 1900
"STEM births per 1,000 population",1900,1810,0,2,Cohort 1900
"STEM births per 1,000 population",1900,1820,0,2,Cohort 1900
"STEM births per 1,000 population",1900,1830,0.054920095016055014,2,Cohort 1900
"STEM births per 1,000 population",1900,1840,0.008304791020963757,2,Cohort 1900
"STEM births per 1,000 population",1900,1850,0.008547421192943543,2,Cohort 1900
"STEM births per 1,000 population",1900,1860,0.013726578565726963,2,Cohort 1900
"STEM births per 1,000 population",1900,1870,0.011015504015916179,2,Cohort 1900
"STEM births per 1,000 population",1900,1880,0.007505648880350692,2,Cohort 1900
"STEM births per 1,000 population",1900,1890,0.016876687668766877,2,Cohort 1900
"STEM births per 1,000 population",1900,1900,0.015116695021329526,2,Cohort 1900
"STEM births per 1,000 population",1900,1910,0.027384958517868128,2,Cohort 1900
"STEM births per 1,000 population",1900,1920,0.020452670432741862,2,Cohort 1900
"STEM births per 1,000 population",1900,1930,0.026320054349402808,2,Cohort 1900
"STEM births per 1,000 population",1900,1940,0.02800001591326342,2,Cohort 1900
"STEM births per 1,000 population",1900,1950,0.010589857075623188,2,Cohort 1900
"STEM births per 1,000 population",1900,1960,0.0026044646427429803,2,Cohort 1900
"STEM births per 1,000 population",1900,1970,8.94226093890014e-4,2,Cohort 1900
"STEM births per 1,000 population",1900,1980,1.3725882594839672e-4,2,Cohort 1900
"STEM births per 1,000 population",1900,1990,1.2978932337451204e-4,2,Cohort 1900
"STEM births per 1,000 population",1900,2000,0,2,Cohort 1900
"STEM births per 1,000 population",1920,1800,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1810,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1820,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1830,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1840,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1850,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1860,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1870,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1880,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1890,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1900,0.00875899002549482,1,Cohort 1920
"STEM births per 1,000 population",1920,1910,0.034565906760410846,1,Cohort 1920
"STEM births per 1,000 population",1920,1920,0.017667238122071965,1,Cohort 1920
"STEM births per 1,000 population",1920,1930,0.010568469730168803,1,Cohort 1920
"STEM births per 1,000 population",1920,1940,0.0143392774617328,1,Cohort 1920
"STEM births per 1,000 population",1920,1950,0.004450640725365425,1,Cohort 1920
"STEM births per 1,000 population",1920,1960,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1970,0.004200587780372005,1,Cohort 1920
"STEM births per 1,000 population",1920,1980,0,1,Cohort 1920
"STEM births per 1,000 population",1920,1990,0,1,Cohort 1920
"STEM births per 1,000 population",1920,2000,0,1,Cohort 1920
"STEM births per 1,000 est. births",0,1800,0.06162593609379345,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1810,0.016988959135715104,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1820,0.07224636910522785,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1830,0.03247709998516262,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1840,0.0323311181339966,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1850,0.04111596509940475,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1860,0.017050852916149255,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1870,0.023768258033331997,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1880,0.03305202629212494,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1890,0.03844267106781046,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1900,0.036445088820801226,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1910,0.06064605661907321,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1920,0.05499985783829179,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1930,0.05492431582248622,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1940,0.04800635020928387,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1950,0.032908087519300064,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1960,0.015108908224185775,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1970,0.01708186649458606,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1980,0.0015097003893171108,58,Control (g = 0)
"STEM births per 1,000 est. births",0,1990,5.021410177734131e-4,58,Control (g = 0)
"STEM births per 1,000 est. births",0,2000,0,58,Control (g = 0)
"STEM births per 1,000 est. births",1850,1800,0,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1810,0,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1820,0,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1830,0,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1840,0.01100115677920203,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1850,0.04658869991348874,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1860,0.029666504821723783,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1870,0.11587901138435694,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1880,0.036171853628423616,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1890,0.02018926872675524,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1900,0.03714886739655877,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1910,0.03445965077398688,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1920,0.06640819103501194,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1930,0.06243992357575649,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1940,0.06023431738628097,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1950,0.026970950456053727,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1960,0.010324688761159948,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1970,0.009911419230829775,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1980,0.0040879700608659544,4,Cohort 1850
"STEM births per 1,000 est. births",1850,1990,0.0019724531270072757,4,Cohort 1850
"STEM births per 1,000 est. births",1850,2000,0,4,Cohort 1850
"STEM births per 1,000 est. births",1860,1800,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1810,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1820,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1830,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1840,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1850,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1860,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1870,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1880,0.01910882173420979,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1890,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1900,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1910,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1920,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1930,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1940,0.013861042795158669,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1950,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1960,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1970,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1980,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,1990,0,1,Cohort 1860
"STEM births per 1,000 est. births",1860,2000,0,1,Cohort 1860
"STEM births per 1,000 est. births",1870,1800,0,1,Cohort 1870
