state,state_abbr,school,city,county_name,founding_year_used,roots_year,continuity_status,lineage_note,school_type,elite_signal,confidence,admission_model_current_prelim,access_model_current_prelim,access_model_historical_prelim,admissions_access_coding_status,county_geoid,lat_county,lon_county,admission_selectivity_current,test_based_admissions_current,poor_access_current,poor_access_historical,historical_access_note,historical_access_evidence_level,current_admissions_source_url,current_access_source_url,historical_access_source_url,lineage_risk,comparability_class,sample_role,include_in_core_sample,include_in_expanded_sample,proper_elite_school,elite_tier,local_access_relevance,revision_note,crit_secondary_school,crit_in_frame_1800_1940,crit_active_20yr,crit_first_decade_size_ge_50,crit_tuition_free_historical,crit_selective_historical,crit_not_special_model,crit_high_access_strict,historically_unclear,historically_unclear_note,review_batch,review_theme,review_priority,review_status
Connecticut,CT,Hopkins School,New Haven,New Haven County,1660,1660,continuous,Continuously operating since 1660.,Private day school,Long-standing elite Connecticut day school.,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09009,41.4064322128234,-72.9343561823052,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,no,yes,unknown,no,yes,yes,no,no,,B01,Elite girls' academies and access coding,high,started_2026_04_30
Connecticut,CT,Miss Porter's School,Farmington,Hartford County,1843,1843,continuous,Continuous school from 1843,Private girls' boarding and day school,Canonical elite girls' boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09003,41.8026750827276,-72.7310295530549,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,girls_academy,core,yes,yes,yes,core,low,Canonical elite girls' academy omitted from the first pass; keep in the core sample.,yes,yes,yes,no,no,yes,yes,no,no,,B01,Elite girls' academies and access coding,high,started_2026_04_30
Connecticut,CT,The Taft School,Watertown,Litchfield County,1890,1890,continuous_renamed,Founded as Mr. Taft's School; later renamed Taft,Private boarding and day school,Premier New England boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09005,41.7921609969691,-73.2444237177526,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,B01,Elite girls' academies and access coding,high,started_2026_04_30
Connecticut,CT,The Hotchkiss School,Lakeville,Litchfield County,1891,1891,continuous,Continuous school from 1891,Private boarding school,Premier New England boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09005,41.7921609969691,-73.2444237177526,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,B01,Elite girls' academies and access coding,high,started_2026_04_30
Connecticut,CT,Choate School / Choate Rosemary Hall,Wallingford,New Haven County,1896,1890,later_merger_use_roots,Use Choate School 1896 and Rosemary Hall 1890 roots; current institution is a 1974 merger,Private boarding and day school,Merged lineage of nationally elite boarding schools,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09009,41.4064322128234,-72.9343561823052,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a 1974 merger of two older schools; exclude from the core treatment sample unless predecessors are modeled separately.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Elite girls' academies and access coding,high,started_2026_04_30
Connecticut,CT,Loomis Chaffee School,Windsor,Hartford County,1914,1914,continuous,Continuous school from 1914,Private boarding and day school,Established elite Connecticut boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,09003,41.8026750827276,-72.7310295530549,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,B01,Elite girls' academies and access coding,high,started_2026_04_30
Delaware,DE,Howard High School,Wilmington,New Castle County,1869,1869,continuous,Continuously operating since 1869; first Black public high school in Delaware.,Public high school,First Black public academic high school in Delaware; long-standing center of Black secondary education.,high,open_access_public,public_free_selective,public_free_selective,rule_based_from_school_type,10003,39.5796416805537,-75.6406474340106,open_access,no,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,,,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,unknown,yes,no,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Delaware,DE,Tower Hill School,Wilmington,New Castle County,1919,1919,continuous,Continuous school from 1919,Private day college-prep school,Top Delaware independent school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,10003,39.5796416805537,-75.6406474340106,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Delaware,DE,St. Andrew's School,Middletown,New Castle County,1929,1929,continuous,Continuous school from 1929,Private boarding school,Historic selective boarding school in Delaware,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,10003,39.5796416805537,-75.6406474340106,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
District of Columbia,DC,Paul Laurence Dunbar High School,Washington,District of Columbia,1870,1870,reorganized_continuity,Roots as Preparatory High School for Colored Youth (1870); renamed M Street School (1891) and Dunbar (1916).,Public selective high school,First Black public academic high school in the US; produced many leading Black scholars and professionals.,high,merit_selective_nonexam,public_free_selective,public_free_selective,rule_based_from_school_type,11001,38.9041711856959,-77.0165437832175,public_selective_nonexam,no,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,,,,medium,public_access_school,core_with_caution,yes,yes,yes,core,high,Institutional continuity is real but the current school form is reorganized relative to the historical predecessor.,yes,yes,yes,unknown,yes,yes,yes,yes,yes,Selective Black academic HS 1870-1955 with rigorous admission standards; after DC school integration in 1955 became open-admit neighborhood school. Default: selective historically (founding-era model).,unassigned,No targeted revision batch yet,low,first_pass_only
Florida,FL,Ransom Everglades School,Coconut Grove,Miami-Dade County,1903,1903,later_merger_use_roots,Use Ransom School roots; current Ransom Everglades is a later merger,Private day college-prep school,Merged lineage of elite South Florida prep schools,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,12086,25.6110436200333,-80.5519536957601,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Merger-root continuity and county treatment interpretation,medium,queued
Georgia,GA,Westminster Schools,Atlanta,Fulton County,1888,1878,later_merger_use_roots,Use North Avenue Presbyterian School 1888 and Washington Seminary 1878 roots; current institution founded by merger in 1951,Private school,Merged lineage of elite Atlanta prep schools,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,13121,33.7917716997751,-84.4638437203173,holistic_private,no,low,low,"Elite lineage predates 1930, but predecessor institutions were generally tuition-charging private schools with limited poor access.",rule_based_private_model,,,,high,later_merger_lineage,robustness_only,no,yes,yes,core,low,Current institution is a later merger using predecessor roots; exclude from the core treatment sample.,yes,yes,yes,unknown,no,yes,yes,no,no,,B03,Merger-root continuity and county treatment interpretation,medium,queued
Georgia,GA,Woodward Academy,College Park,Fulton County,1900,1900,continuous_renamed,Founded as Georgia Military Academy; renamed Woodward Academy in 1966,Private college-prep school,Longstanding elite Atlanta independent school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,13121,33.7917716997751,-84.4638437203173,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,B03,Merger-root continuity and county treatment interpretation,medium,queued
Georgia,GA,Booker T. Washington High School,Atlanta,Fulton County,1924,1924,continuous,Continuously operating since 1924; first Black public high school in Atlanta.,Public high school,First Black public high school in Atlanta; alma mater of Martin Luther King Jr. and many leading civil-rights leaders.,high,open_access_public,public_free_selective,public_free_selective,rule_based_from_school_type,13121,33.7917716997751,-84.4638437203173,open_access,no,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,,,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,unknown,yes,no,yes,no,no,,B03,Merger-root continuity and county treatment interpretation,medium,queued
Hawaii,HI,Punahou School,Honolulu,Honolulu County,1841,1841,continuous,Continuous school from 1841,Private college-prep school,Historically elite Hawaiian college-prep school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,15003,21.4580098269447,-157.971140193898,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Hawaii,HI,Iolani School,Honolulu,Honolulu County,1863,1863,continuous,Continuous school from 1863,Private college-prep school,Historically elite Hawaiian college-prep school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,15003,21.4580098269447,-157.971140193898,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,no,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Illinois,IL,Latin School of Chicago,Chicago,Cook County,1888,1888,continuous,Continuous school from 1888,Private day college-prep school,Historic elite Chicago independent school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,17031,41.8409835312148,-87.8159048417931,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,B03,Special institutional models and false positives,medium,queued
Illinois,IL,University of Chicago Laboratory Schools,Chicago,Cook County,1896,1896,continuous,Continuous school lineage from 1896,Private university-affiliated school,Pioneering and nationally prominent academic school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,17031,41.8409835312148,-87.8159048417931,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,medium,special_institution,robustness_only,no,yes,no,extended,low,Prestigious but atypical laboratory-school model; keep only in robustness checks.,no,yes,yes,unknown,no,no,no,no,yes,K-12 laboratory school of the University of Chicago Department of Education; serves UChicago faculty children disproportionately. Atypical model; recorded but excluded from default high-access.,B03,Special institutional models and false positives,medium,queued
Illinois,IL,Francis W. Parker School,Chicago,Cook County,1901,1901,continuous,Continuous school from 1901,Private day school,Historic elite Chicago independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,17031,41.8409835312148,-87.8159048417931,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,B03,Special institutional models and false positives,medium,queued
Illinois,IL,Lane Tech College Prep High School,Chicago,Cook County,1908,1908,continuous_renamed,Founded as Lane Manual Training High School; later Lane Technical High School,Public selective-enrollment high school,Longstanding selective public high school in Chicago,high,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,17031,41.8409835312148,-87.8159048417931,grades_test_combo,yes,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://lanetech.org/enrollment/admissions/,https://lanetech.org/enrollment/admissions/,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,unknown,yes,no,yes,no,yes,Founded 1908 as Albert G. Lane Manual Training High School (open-admit vocational track for working-class boys); transitioned to selective college-prep model in mid-to-late 20th century. Default: not selective historically.,B03,Special institutional models and false positives,medium,queued
Indiana,IN,Shortridge High School,Indianapolis,Marion County,1864,1864,continuous,Continuous school from 1864,Public high school,Historically elite Indianapolis public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,18097,39.7816403204273,-86.1382727101081,open_access,no,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://shortridge.myips.org/admissions,https://shortridge.myips.org/admissions,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,no,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Indiana,IN,Culver Academies,Culver,Marshall County,1894,1894,continuous,Continuous school from 1894,Private boarding and day school,Historically elite Midwestern boarding school,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,18099,41.3247263383669,-86.2618468976918,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Iowa,IA,Scattergood Friends School,West Branch,Cedar County,1890,1890,continuous,Continuous school from 1890,Private boarding school,Historically distinctive Iowa boarding school,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,19031,41.7724238702405,-91.1325069602737,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,no,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Kansas,KS,Sumner Academy of Arts and Science,Kansas City,Wyandotte County,1905,1905,reorganized_continuity,Opened in 1905 as Manual Training High School / Sumner High School; reorganized in 1978 as the current selective academy,Public selective college-prep school,Historically important Black public academic high school and later selective academy,high,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_and_historical,20209,39.1173065339703,-94.7637815967082,public_selective_nonexam,no,high,high,Public academic-screen school with roots as an important Black public high school; low tuition barriers but strong racial and geographic constraints shaped who could access it historically.,source_checked,https://www.kckps.org/images/departments/student_services/parent_handbook.pdf,https://www.kckps.org/images/departments/student_services/parent_handbook.pdf,https://sumner.kckschools.org/about/our-school,medium,historic_black_public_school,core_with_caution,yes,yes,yes,core,high,Historically important Black public academic school with reorganized continuity; keep in the core sample with caution.,yes,yes,yes,yes,yes,no,yes,no,yes,"Founded 1905 as Sumner High School / Manual Training School (segregated Black public HS, open admission within Black community); reorganized 1978 as the current selective Sumner Academy. Default: not selective historically.",B02,Historically important Black public-access schools,high,started_2026_04_30
Kentucky,KY,Louisville Male High School,Louisville,Jefferson County,1856,1856,continuous,Continuous school from 1856,Public magnet high school,Longstanding academically prominent public high school,medium,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,21111,38.1866676471206,-85.6593993537961,lottery,no,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://www.jefferson.kyschools.us/high-school-choices,https://www.jefferson.kyschools.us/high-school-choices,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,no,yes,no,yes,Founded 1856 as Louisville's public boys' high school; open admission within Louisville public schools. Today admits via lottery. Default: not selective historically.,unassigned,No targeted revision batch yet,low,first_pass_only
Kentucky,KY,duPont Manual High School,Louisville,Jefferson County,1892,1892,continuous,Continuous school from 1892,Public magnet high school,Historically selective flagship public high school,high,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,21111,38.1866676471206,-85.6593993537961,grades_test_combo,yes,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://admissions.dupontmanual.com/,https://admissions.dupontmanual.com/,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,no,yes,no,yes,Founded 1892 as the manual-training arm of Louisville public high schools; open admission within Louisville public schools historically; became selective magnet much later. Default: not selective historically.,unassigned,No targeted revision batch yet,low,first_pass_only
Louisiana,LA,Isidore Newman School,New Orleans,Orleans Parish,1903,1903,continuous,Continuous school from 1903,Private day college-prep school,Flagship elite independent school in New Orleans,high,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,22071,30.0697525839781,-89.9266584614262,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,unknown,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Louisiana,LA,Metairie Park Country Day School,Metairie,Jefferson Parish,1929,1929,continuous,Continuous school from 1929,Private day school,Longstanding elite New Orleans area independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,22051,29.7400923314415,-90.1108041262526,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,unknown,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Maine,ME,Hebron Academy,Hebron,Oxford County,1804,1804,continuous,Continuous school from 1804,Private boarding and day school,Historic New England academy with college-prep role,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,23017,44.4975292244393,-70.7554107236718,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Maine,ME,Waynflete School,Portland,Cumberland County,1898,1898,continuous,Continuous school from 1898,Private day school,Longstanding elite Portland independent school,medium,holistic_private,private_need_aid,private_tuition_dominant,rule_based_from_school_type,23005,43.8368543611421,-70.3710576237675,holistic_private,no,low,low,"Elite private tuition model; poor access likely depended on limited scholarships, patronage, or church support rather than open low-cost admission.",rule_based_private_model,,,,low,standard_candidate,core,yes,yes,yes,core,low,,yes,yes,yes,yes,no,yes,yes,no,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Maryland,MD,Baltimore City College,Baltimore,Baltimore city,1839,1839,continuous_renamed,Founded as The High School; later Central High School of Baltimore and Baltimore City College,Public selective college-prep school,Historic elite public city school,high,merit_selective_nonexam,public_free_selective,public_free_selective,source_checked_current_rule_based_historical,24510,39.3020846706768,-76.6114662660985,grades_test_combo,yes,high,high,"Public or publicly funded model meant low direct tuition barriers, although earlier eras often had sex, race, or residency exclusions.",rule_based_public_model,https://www.baltimorecitycollege.us/in-district-admissions,https://www.baltimorecitycollege.us/in-district-admissions,,low,public_access_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,yes,yes,yes,no,,unassigned,No targeted revision batch yet,low,first_pass_only
Maryland,MD,McDonogh School,Owings Mills,Baltimore County,1873,1873,continuous,Continuous school from 1873,Private day school with boarding option,Longstanding elite Baltimore-area prep school,high,holistic_private,private_need_aid,historically_for_poor,rule_based_current_source_checked_historical,24005,39.4577056814814,-76.6289266974621,holistic_private,no,low,high,Founded explicitly for poor boys; later evolved into a broader elite private school.,source_checked,,,https://www.mcdonogh.org/about/history,low,high_access_nonpublic_school,core,yes,yes,yes,core,high,,yes,yes,yes,yes,yes,yes,yes,yes,yes,Founded 1873 as a free boarding school for poor boys per the John McDonogh bequest; transitioned to a tuition-charging private elite school by the early 20th century. Default: tuition-free historically (founding-era model).,unassigned,No targeted revision batch yet,low,first_pass_only
