GEOID,n_nearby_schools,first_exposure_year,first_exposure_schools,first_exposure_access,g_any,g_high,first_high_school,g_low,first_low_school,lat_county,lon_county,treated_in_first_panel_decade
21111,2,1856,Louisville Male High School,high,1860,1860,Louisville Male High School,NA,NA,38.1866676471206,-85.6593993537961,TRUE
21185,2,1856,Louisville Male High School,high,1860,1860,Louisville Male High School,NA,NA,38.397903584701,-85.4482254796445,TRUE
21215,2,1856,Louisville Male High School,high,1860,1860,Louisville Male High School,NA,NA,38.0322767707005,-85.3274959658729,TRUE
22051,2,1903,Isidore Newman School,low,1910,NA,NA,1910,Isidore Newman School,29.7400923314415,-90.1108041262526,FALSE
22057,1,1929,Metairie Park Country Day School,low,1930,NA,NA,1930,Metairie Park Country Day School,29.5243702760359,-90.4090924830565,FALSE
22071,2,1903,Isidore Newman School,low,1910,NA,NA,1910,Isidore Newman School,30.0697525839781,-89.9266584614262,FALSE
22089,1,1929,Metairie Park Country Day School,low,1930,NA,NA,1930,Metairie Park Country Day School,29.9070125306446,-90.3555157592073,FALSE
22103,1,1903,Isidore Newman School,low,1910,NA,NA,1910,Isidore Newman School,30.4094283960291,-89.9563100064537,FALSE
23005,1,1898,Waynflete School,low,1900,NA,NA,1900,Waynflete School,43.8368543611421,-70.3710576237675,FALSE
23017,1,1804,Hebron Academy,low,1810,NA,NA,1810,Hebron Academy,44.4975292244393,-70.7554107236718,TRUE
24003,3,1839,Baltimore City College,high,1840,1840,Baltimore City College,1900,Gilman School,39.0064941411988,-76.6032365781844,TRUE
24005,4,1839,Baltimore City College,high,1840,1840,Baltimore City College,1900,Gilman School,39.4577056814814,-76.6289266974621,TRUE
24013,1,1873,McDonogh School,high,1880,1880,McDonogh School,NA,NA,39.5645756995548,-77.0236744237967,FALSE
24015,2,1919,Tower Hill School,low,1920,NA,NA,1920,Tower Hill School,39.5664277283996,-75.9461540035282,FALSE
24017,1,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.5109070919141,-76.9858117106739,TRUE
24025,4,1839,Baltimore City College,high,1840,1840,Baltimore City College,1900,Gilman School,39.55004531992,-76.3076059100665,TRUE
24027,4,1839,Baltimore City College,high,1840,1840,Baltimore City College,1900,Gilman School,39.2530385639623,-76.9311172999141,TRUE
24031,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,39.1367586927167,-77.2035001198296,TRUE
24033,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.8304982494108,-76.8496286737434,TRUE
24043,1,1893,Mercersburg Academy,low,1900,NA,NA,1900,Mercersburg Academy,39.6084350864262,-77.8198218114776,FALSE
24510,4,1839,Baltimore City College,high,1840,1840,Baltimore City College,1900,Gilman School,39.3020846706768,-76.6114662660985,TRUE
25005,1,1896,St. George's School,low,1900,NA,NA,1900,St. George's School,41.7920109435612,-71.1084140496668,FALSE
25017,3,1884,Groton School,low,1890,NA,NA,1890,Groton School,42.4859204886304,-71.39031937866,FALSE
25021,1,1866,Noble and Greenough School,low,1870,NA,NA,1870,Noble and Greenough School,42.1607451995197,-71.2054928170682,TRUE
25025,4,1866,Noble and Greenough School,low,1870,NA,NA,1870,Noble and Greenough School,42.3279486981571,-71.0785644122844,TRUE
26125,2,1914,Detroit Country Day School,low,1920,NA,NA,1920,Detroit Country Day School,42.660805873487,-83.3859403135568,FALSE
26163,1,1877,University of Detroit Jesuit High School and Academy,low,1880,NA,NA,1880,University of Detroit Jesuit High School and Academy,42.2809371158169,-83.2813977050076,FALSE
27003,2,1886,Breck School,low,1890,NA,NA,1890,Breck School,45.2734371229127,-93.2460425455292,FALSE
27019,2,1886,Breck School,low,1890,NA,NA,1890,Breck School,44.8200524665119,-93.800974116788,FALSE
27053,2,1886,Breck School,low,1890,NA,NA,1890,Breck School,45.0050861687089,-93.4771410722228,FALSE
27079,1,1858,Shattuck-St. Mary's School,low,1860,NA,NA,1860,Shattuck-St. Mary's School,44.3713675434528,-93.728434354996807,TRUE
27123,2,1886,Breck School,low,1890,NA,NA,1890,Breck School,45.016234257425,-93.0986963907975,FALSE
27131,1,1858,Shattuck-St. Mary's School,low,1860,NA,NA,1860,Shattuck-St. Mary's School,44.354299376633,-93.2965114174414,TRUE
28039,1,1892,St. Paul's School,low,1900,NA,NA,1900,St. Paul's School,30.8626992595821,-88.6443801926938,FALSE
29047,1,1910,Pembroke Hill School,low,1910,NA,NA,1910,Pembroke Hill School,39.3110332119221,-94.4189131800442,FALSE
29095,1,1910,Pembroke Hill School,low,1910,NA,NA,1910,Pembroke Hill School,39.009813003313,-94.3469402478327,FALSE
29183,2,1913,MICDS,low,1920,NA,NA,1920,MICDS,38.7787158511022,-90.6668722005395,FALSE
29189,2,1913,MICDS,low,1920,NA,NA,1920,MICDS,38.6375360674344,-90.4458131458225,FALSE
29510,2,1913,MICDS,low,1920,NA,NA,1920,MICDS,38.6355549727885,-90.2434976180683,FALSE
31055,2,1859,Omaha Central High School,high,1860,1860,Omaha Central High School,1870,Brownell Talbot College Preparatory School,41.2952738548227,-96.1508426228393,TRUE
31153,2,1859,Omaha Central High School,high,1860,1860,Omaha Central High School,1870,Brownell Talbot College Preparatory School,41.1132298326126,-96.1115942427819,TRUE
31177,2,1859,Omaha Central High School,high,1860,1860,Omaha Central High School,1870,Brownell Talbot College Preparatory School,41.5281796538175,-96.2200604964699,TRUE
33001,1,1856,St. Paul's School,low,1860,NA,NA,1860,St. Paul's School,43.5163051279559,-71.416187765148,TRUE
33009,1,1879,Holderness School,low,1880,NA,NA,1880,Holderness School,43.9339608558568,-71.8236127272306,FALSE
33013,1,1856,St. Paul's School,low,1860,NA,NA,1860,St. Paul's School,43.2969013546087,-71.6807199598891,TRUE
34003,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.9238023078727,-74.0719003380801,FALSE
34007,1,1836,Central High School,high,1840,1840,Central High School,NA,NA,39.8033275525174,-74.9637111119183,TRUE
34013,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.786837872448,-74.2458109248068,FALSE
34015,2,1836,Central High School,high,1840,1840,Central High School,1890,The Haverford School,39.7157943528652,-75.1397248231404,TRUE
34017,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.7543680163664,-74.0774462242389,FALSE
34019,4,1810,The Lawrenceville School,low,1810,NA,NA,1810,The Lawrenceville School,40.563253787727,-74.912871393614,TRUE
34021,3,1810,The Lawrenceville School,low,1810,NA,NA,1810,The Lawrenceville School,40.2804649676836,-74.7047357766788,TRUE
34023,3,1810,The Lawrenceville School,low,1810,NA,NA,1810,The Lawrenceville School,40.4362203150752,-74.414384971484,TRUE
34027,1,1861,The Pingry School,low,1870,NA,NA,1870,The Pingry School,40.8624543376146,-74.5444764564807,TRUE
34033,3,1884,The Haverford School,low,1890,NA,NA,1890,The Haverford School,39.5871925588363,-75.3469517604765,FALSE
34035,3,1810,The Lawrenceville School,low,1810,NA,NA,1810,The Lawrenceville School,40.5645745779087,-74.6168887252581,TRUE
34039,6,1861,The Pingry School,low,1870,1910,Stuyvesant High School,1870,The Pingry School,40.6583638646766,-74.3067930250911,TRUE
34041,1,1848,Blair Academy,low,1850,NA,NA,1850,Blair Academy,40.8594026391453,-74.9957035336639,TRUE
35005,1,1891,New Mexico Military Institute,high,1900,1900,New Mexico Military Institute,NA,NA,33.366317226608,-104.463842624726,FALSE
36005,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.8520903053364,-73.8628240171647,FALSE
36047,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.6361763104886,-73.9493515524691,FALSE
36059,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.740601657676,-73.5894621334524,FALSE
36061,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.7672684157922,-73.9715382595434,FALSE
36081,7,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,Horace Mann School; The Brearley School,40.7108412891942,-73.8167996024945,FALSE
36085,5,1884,The Brearley School,low,1890,1910,Stuyvesant High School,1890,The Brearley School,40.5857964130019,-74.1481446732242,FALSE
36087,2,1887,Horace Mann School,low,1890,NA,NA,1890,Horace Mann School,41.1503155662596,-74.0256015896325,FALSE
36119,2,1887,Horace Mann School,low,1890,NA,NA,1890,Horace Mann School,41.1627055395428,-73.757514407042,FALSE
37021,1,1900,Asheville School,low,1900,NA,NA,1900,Asheville School,35.6111438227466,-82.5331053792638,FALSE
37089,1,1900,Asheville School,low,1900,NA,NA,1900,Asheville School,35.3378674838847,-82.4767001965724,FALSE
37115,1,1900,Asheville School,low,1900,NA,NA,1900,Asheville School,35.8540350565177,-82.7135589499957,FALSE
37199,1,1900,Asheville School,low,1900,NA,NA,1900,Asheville School,35.8987892723465,-82.3115749935128,FALSE
39013,1,1814,Linsly School,low,1820,NA,NA,1820,Linsly School,40.0162962079878,-80.9924179721083,TRUE
39035,3,1826,Western Reserve Academy,low,1830,NA,NA,1830,Western Reserve Academy,41.4241449723719,-81.6593120002734,TRUE
39041,1,1911,Columbus Academy,low,1920,NA,NA,1920,Columbus Academy,40.2794292447711,-83.0044680502087,FALSE
39049,1,1911,Columbus Academy,low,1920,NA,NA,1920,Columbus Academy,39.9699723758481,-83.0111659157847,FALSE
39081,1,1814,Linsly School,low,1820,NA,NA,1820,Linsly School,40.3859559149498,-80.762588505565,TRUE
39097,1,1911,Columbus Academy,low,1920,NA,NA,1920,Columbus Academy,39.8937452166814,-83.4018477264562,FALSE
39103,1,1826,Western Reserve Academy,low,1830,NA,NA,1830,Western Reserve Academy,41.1177070749147,-81.899956224698,TRUE
39129,1,1911,Columbus Academy,low,1920,NA,NA,1920,Columbus Academy,39.641748137924,-83.0242673129685,FALSE
39133,1,1826,Western Reserve Academy,low,1830,NA,NA,1830,Western Reserve Academy,41.1678843247448,-81.1973563926654,TRUE
39151,1,1826,Western Reserve Academy,low,1830,NA,NA,1830,Western Reserve Academy,40.8147721399741,-81.3645835922769,TRUE
39153,3,1826,Western Reserve Academy,low,1830,NA,NA,1830,Western Reserve Academy,41.1244716712141,-81.5312527491282,TRUE
40143,1,1922,Holland Hall,low,1930,NA,NA,1930,Holland Hall,36.1193052585822,-95.9401768382766,FALSE
41051,2,1869,Oregon Episcopal School,low,1870,NA,NA,1870,Oregon Episcopal School,45.5479775972792,-122.416953751752,TRUE
42003,1,1883,Shady Side Academy,low,1890,NA,NA,1890,Shady Side Academy,40.4693096271304,-79.9831180033775,FALSE
42017,4,1810,The Lawrenceville School,low,1810,1840,Central High School,1810,The Lawrenceville School,40.3372937710897,-75.1083011224167,TRUE
42029,1,1884,The Haverford School,low,1890,NA,NA,1890,The Haverford School,39.9737855495193,-75.7459585176222,FALSE
42045,3,1836,Central High School,high,1840,1840,Central High School,1860,The Hill School,39.9156982209531,-75.399988235939,TRUE
42055,1,1893,Mercersburg Academy,low,1900,NA,NA,1900,Mercersburg Academy,39.9293931962571,-77.7216324954335,FALSE
42057,1,1893,Mercersburg Academy,low,1900,NA,NA,1900,Mercersburg Academy,39.9290125030076,-78.1118415410004,FALSE
42089,1,1848,Blair Academy,low,1850,NA,NA,1850,Blair Academy,41.0578458799839,-75.3403582947742,TRUE
42091,3,1836,Central High School,high,1840,1840,Central High School,1860,The Hill School,40.2089093191303,-75.3627365965544,TRUE
42095,1,1848,Blair Academy,low,1850,NA,NA,1850,Blair Academy,40.7493105255994,-75.3117334013671,TRUE
42101,3,1836,Central High School,high,1840,1840,Central High School,1860,The Hill School,40.00350186131,-75.1295021424993,TRUE
42125,2,1814,Linsly School,low,1820,NA,NA,1820,Linsly School,40.1918332054941,-80.245673114773,TRUE
44001,2,1889,Wheeler School,low,1890,NA,NA,1890,Wheeler School,41.7101790725111,-71.2865070969543,FALSE
44003,2,1889,Wheeler School,low,1890,NA,NA,1890,Wheeler School,41.671164183364,-71.5764595932753,FALSE
44005,1,1896,St. George's School,low,1900,NA,NA,1900,St. George's School,41.564178711707,-71.2657181675261,FALSE
44007,1,1889,Wheeler School,low,1890,NA,NA,1890,Wheeler School,41.870653258258,-71.5775238736135,FALSE
44009,1,1896,St. George's School,low,1900,NA,NA,1900,St. George's School,41.4595361509727,-71.614438487699,FALSE
45019,1,1867,Porter-Gaud School,low,1870,NA,NA,1870,Porter-Gaud School,32.8239637288457,-79.9653226083502,TRUE
47003,1,1870,The Webb School,low,1870,NA,NA,1870,The Webb School,35.5112103380648,-86.4554750195048,TRUE
47011,1,1893,Baylor School,low,1900,NA,NA,1900,Baylor School,35.1573128829056,-84.8571874759362,FALSE
47021,1,1867,Montgomery Bell Academy,low,1870,NA,NA,1870,Montgomery Bell Academy,36.2609330919288,-87.0893796578263,TRUE
47031,1,1870,The Webb School,low,1870,NA,NA,1870,The Webb School,35.4908210665746,-86.0730166160729,TRUE
47037,1,1867,Montgomery Bell Academy,low,1870,NA,NA,1870,Montgomery Bell Academy,36.1700721598291,-86.7864609493022,TRUE
47065,1,1893,Baylor School,low,1900,NA,NA,1900,Baylor School,35.1766761239758,-85.1665940768041,FALSE
47117,1,1870,The Webb School,low,1870,NA,NA,1870,The Webb School,35.457856292114,-86.7642655259364,TRUE
47127,1,1870,The Webb School,low,1870,NA,NA,1870,The Webb School,35.2772402576989,-86.3622910185972,TRUE
47147,1,1867,Montgomery Bell Academy,low,1870,NA,NA,1870,Montgomery Bell Academy,36.5243046699687,-86.8737115608048,TRUE
47149,1,1870,The Webb School,low,1870,NA,NA,1870,The Webb School,35.8458651155245,-86.4107009034401,TRUE
47153,1,1893,Baylor School,low,1900,NA,NA,1900,Baylor School,35.3697551072687,-85.4101310420944,FALSE
47187,1,1867,Montgomery Bell Academy,low,1870,NA,NA,1870,Montgomery Bell Academy,35.8910541255223,-86.8927291043635,TRUE
48029,1,1893,TMI Episcopal,low,1900,NA,NA,1900,TMI Episcopal,29.4502743800656,-98.5208803439628,FALSE
48113,1,1913,The Hockaday School,low,1920,NA,NA,1920,The Hockaday School,32.7666737510085,-96.7778351037992,FALSE
48201,1,1906,The Kinkaid School,low,1910,NA,NA,1910,The Kinkaid School,29.8588815537116,-95.3944104663878,FALSE
48397,1,1913,The Hockaday School,low,1920,NA,NA,1920,The Hockaday School,32.8979664110004,-96.4078133922142,FALSE
49035,1,1867,Rowland Hall,low,1870,NA,NA,1870,Rowland Hall,40.6661009739016,-111.921592331119,TRUE
50003,1,1829,Burr and Burton Academy,high,1830,1830,Burr and Burton Academy,NA,NA,43.0347748153191,-73.0906770299934,TRUE
50005,1,1842,St. Johnsbury Academy,high,1850,1850,St. Johnsbury Academy,NA,NA,44.4651942641233,-72.1033775681201,TRUE
50025,1,1829,Burr and Burton Academy,high,1830,1830,Burr and Burton Academy,NA,NA,42.9868828081829,-72.7128077119648,TRUE
51013,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.8767676762972,-77.1013875318851,TRUE
51041,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.3737661894915,-77.5867928954404,FALSE
51047,1,1889,Woodberry Forest School,low,1890,NA,NA,1890,Woodberry Forest School,38.4820510037376,-77.9562619595259,FALSE
51059,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.8367080280444,-77.2755452229799,TRUE
51079,1,1889,Woodberry Forest School,low,1890,NA,NA,1890,Woodberry Forest School,38.2955124096326,-78.465249211703,FALSE
51085,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.7590555045155,-77.4887658661676,FALSE
51087,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.5375593924059,-77.4005707281481,FALSE
51101,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.7097624702238,-77.0902189566853,FALSE
51113,1,1889,Woodberry Forest School,low,1890,NA,NA,1890,Woodberry Forest School,38.4152361244263,-78.2820941852234,FALSE
51137,1,1889,Woodberry Forest School,low,1890,NA,NA,1890,Woodberry Forest School,38.2453537365603,-78.015875041122,FALSE
51139,1,1889,Woodberry Forest School,low,1890,NA,NA,1890,Woodberry Forest School,38.6226378124407,-78.485666521631,FALSE
51145,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.5501929879127,-77.912670495127,FALSE
51153,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.7091994071315,-77.4868450938841,TRUE
51157,1,1889,Woodberry Forest School,low,1890,NA,NA,1890,Woodberry Forest School,38.6829684200719,-78.1583631577742,FALSE
51510,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.8140095444631,-77.0818285202658,TRUE
51570,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.2644725802037,-77.3961051615672,FALSE
51600,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.8515772246261,-77.2977963398288,TRUE
51610,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.884591768044,-77.1753789994415,TRUE
51670,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.2928009786519,-77.2980048190526,FALSE
51683,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.746385461717,-77.4850800806062,TRUE
51685,2,1839,Episcopal High School,low,1840,NA,NA,1840,Episcopal High School,38.7692417695939,-77.4463749333379,TRUE
51730,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.2053057720108,-77.3936800501725,FALSE
51760,1,1911,St. Christopher's School,low,1920,NA,NA,1920,St. Christopher's School,37.5327053884013,-77.4796534099519,FALSE
53011,2,1869,Oregon Episcopal School,low,1870,NA,NA,1870,Oregon Episcopal School,45.7755642384917,-122.482929855332,TRUE
53033,1,1919,Lakeside School,low,1920,NA,NA,1920,Lakeside School,47.4911285765642,-121.833011604364,FALSE
53053,1,1884,Annie Wright Schools,low,1890,NA,NA,1890,Annie Wright Schools,47.0391103451578,-122.139459531665,FALSE
54009,1,1814,Linsly School,low,1820,NA,NA,1820,Linsly School,40.2736180942209,-80.5791699141233,TRUE
54051,1,1814,Linsly School,low,1820,NA,NA,1820,Linsly School,39.8606193307294,-80.6659490527346,TRUE
54069,1,1814,Linsly School,low,1820,NA,NA,1820,Linsly School,40.095558140213,-80.6220361504067,TRUE
55027,1,1855,Wayland Academy,low,1860,NA,NA,1860,Wayland Academy,43.4157690888106,-88.7092583275529,TRUE
55079,2,1851,University School of Milwaukee,low,1860,NA,NA,1860,University School of Milwaukee,43.004738926882,-87.9672988669584,TRUE
55101,2,1851,University School of Milwaukee,low,1860,NA,NA,1860,University School of Milwaukee,42.7476398101066,-88.0594834804078,TRUE
55133,2,1851,University School of Milwaukee,low,1860,NA,NA,1860,University School of Milwaukee,43.0182999170432,-88.3043053741228,TRUE
